ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1990-01-01,-2.5779999999999994,0.27,-0.4,-0.16,-1.12,1.29,-0.66,-1.09,0.78
1990-02-01,-5.1720000000000015,0.15,-0.3,-0.05,0.99,0.45,-0.49,-2.78,-0.83
1990-03-01,-0.266,1.12,-0.4,0.14,0.55,0.09,0.48,0.04,-0.56
1990-04-01,7.275,0.61,-0.59,0.21,0.07,-1.23,0.85,-0.62,-0.96
1990-05-01,10.798,0.32,-0.38,0.28,0.18,1.32,1.82,0.27,-0.67
1990-06-01,17.268,-0.29,-0.29,0.29,-0.14,0.66,1.54,-1.39,1.26
1990-07-01,19.426,0.12,0.01,0.29,-0.03,0.0,0.16,-0.26,0.53
1990-08-01,19.05,0.03,-0.28,0.31,-1.11,-0.04,1.33,1.76,-1.98
1990-09-01,14.28,0.47,-0.1,0.33,2.25,-0.30999999999999994,0.03,-0.46,-0.28
1990-10-01,8.052000000000001,0.55,0.16,0.38,-0.54,-0.58,1.0,-0.91,0.36
1990-11-01,3.571,0.17,-0.04,0.39,0.54,-1.86,-0.11,-1.66,-0.62
1990-12-01,-2.7260000000000004,0.4,0.01,0.35,0.45,0.03,2.15,-1.62,0.89
1991-01-01,-7.705,0.4,0.11,0.4,0.33,1.72,0.48,0.2,2.52
1991-02-01,-4.211,0.12,0.12,0.41,0.66,0.21,0.03,1.13,0.44
1991-03-01,-0.4490000000000003,0.23,-0.14,0.41,1.24,0.71,-1.15,-1.21,1.5
1991-04-01,7.622000000000001,0.64,-0.2,0.26,-0.63,0.88,0.7,0.38,-0.47
1991-05-01,15.615,0.86,-0.08,0.22,0.93,-0.39,1.16,-0.63,-1.98
1991-06-01,19.029,1.37,0.13,0.26,-0.67,0.78,1.13,-0.92,1.37
1991-07-01,20.075,0.94,0.0,0.45,0.3,-0.43,2.03,0.28,0.24
1991-08-01,20.03,0.71,-0.16,0.64,-1.28,-0.76,-1.37,-0.28,-0.13
1991-09-01,13.911,0.82,-0.05,0.73,-0.81,-0.605,0.29,1.15,-0.84
1991-10-01,9.346,1.02,0.24,0.64,-1.17,-0.45,0.56,-2.35,0.17
1991-11-01,1.238,1.28,0.68,0.62,1.35,0.31,1.12,0.22,0.77
1991-12-01,-3.96,1.0,0.83,0.79,0.43,-0.38,1.18,0.17,0.42
1992-01-01,-6.148,1.82,0.51,1.21,0.48,-0.14,0.76,0.99,0.59
1992-02-01,-5.58,2.12,0.36,1.53,-0.86,-1.13,-0.39,0.09,0.68
1992-03-01,-3.1660000000000004,1.51,0.61,1.71,-0.69,1.02,0.11,0.46,0.11
1992-04-01,4.17,2.22,0.95,1.63,1.99,-0.58,0.49,-0.29,0.59
1992-05-01,12.138,2.05,1.25,1.48,2.49,-0.81,0.74,1.2,0.61
1992-06-01,15.105,1.19,1.37,1.29,0.92,1.2,-0.61,1.36,-1.3
1992-07-01,16.747,1.18,1.27,1.06,-0.7,1.24,0.17,0.38,-0.78
1992-08-01,16.709,0.69,1.05,0.73,0.77,1.01,0.12,-0.37,1.83
1992-09-01,14.331,-0.08,1.17,0.37,1.53,0.42000000000000004,-0.52,-1.13,0.7
1992-10-01,6.511000000000001,-0.02,1.19,0.09,1.55,-0.17,-0.46,0.4,0.56
1992-11-01,1.41,0.75,0.55,-0.13,1.15,0.7,1.46,0.8,0.63
1992-12-01,-2.7550000000000003,0.36,-0.06,-0.25,0.99,1.28,0.61,-1.53,-1.73
1993-01-01,-5.5749999999999975,0.41,-0.08,-0.28,-1.4,1.46,0.3,-1.48,-1.15
1993-02-01,-10.359000000000002,0.59,-0.07,-0.13,1.53,1.02,0.37,0.44,-0.58
1993-03-01,-3.342,0.74,-0.34,0.09,0.13,-0.14,0.34,0.94,-0.32
1993-04-01,5.392,0.81,-0.46,0.3,0.36,1.83,-0.66,1.26,-0.94
1993-05-01,11.49,1.71,-0.36,0.5,0.64,0.43,0.77,2.43,0.29
1993-06-01,16.319000000000006,1.2,-0.11,0.67,1.83,-0.87,0.51,0.66,0.35
1993-07-01,20.284000000000002,1.39,0.39,0.7,0.43,0.59,1.88,-0.28,-0.81
1993-08-01,19.967,0.94,0.4,0.57,0.39,0.3,2.49,-0.17,1.12
1993-09-01,12.434000000000001,0.92,0.84,0.32,-0.87,-0.175,0.51,-0.97,-0.62
1993-10-01,6.769000000000001,0.65,1.07,0.25,0.87,-0.65,0.19,-0.17,-0.21
1993-11-01,1.3610000000000002,0.96,0.44,0.15,-0.21,2.12,0.97,-0.35,-0.17
1993-12-01,-4.2410000000000005,0.24,0.24,0.1,-0.33,0.21,-0.28,0.42,1.17
1994-01-01,-14.050999999999998,0.12,0.24,0.04,2.23,0.71,-1.4,-0.8,1.19
1994-02-01,-10.31,0.16,0.32,0.06,0.99,0.37,1.12,-1.27,-1.02
1994-03-01,-2.693,-0.07,0.13,0.06,0.58,1.59,0.35,0.23,0.81
1994-04-01,6.0280000000000005,0.52,-0.01,0.07,-0.95,0.73,1.35,-0.7,1.26
1994-05-01,10.563,1.1,0.09,0.17,-1.21,0.66,0.12,0.48,0.08
1994-06-01,17.849,0.89,0.2,0.31,1.14,2.48,0.3,-1.36,-0.22
1994-07-01,19.92,0.83,-0.08,0.42,-1.77,2.44,0.91,-0.06,0.24
1994-08-01,17.454,1.11,-0.35,0.41,-0.82,0.31,-0.67,-1.38,-0.48
1994-09-01,14.851,1.33,-0.38,0.44,0.82,1.345,-0.29,-2.02,-1.67
1994-10-01,9.249,1.18,-0.1,0.43,-0.15,2.38,-3.14,-0.09,0.96
