ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1989-10-01,26.789,-0.51,-0.4,-0.22,0.99,0.0,0.48,-1.08,1.5
1989-11-01,21.545,0.06,-0.59,-0.16,0.55,-0.04,0.03,-0.7,-0.47
1989-12-01,15.755,0.27,-0.38,-0.05,0.07,-0.30999999999999994,-1.15,0.57,-1.98
1990-01-01,16.755,0.15,-0.29,0.14,0.18,-0.58,0.7,-1.09,1.37
1990-02-01,17.689999999999994,1.12,0.01,0.21,-0.14,-1.86,1.16,-2.78,0.24
1990-03-01,21.680999999999997,0.61,-0.28,0.28,-0.03,0.03,1.13,0.04,-0.13
1990-04-01,28.983,0.32,-0.1,0.29,-1.11,1.72,2.03,-0.62,-0.84
1990-05-01,33.247,-0.29,0.16,0.29,2.25,0.21,-1.37,0.27,0.17
1990-06-01,34.601,0.12,-0.04,0.31,-0.54,0.71,0.29,-1.39,0.77
1990-07-01,30.369,0.03,0.01,0.33,0.54,0.88,0.56,-0.26,0.42
1990-08-01,30.169,0.47,0.11,0.38,0.45,-0.39,1.12,1.76,0.59
1990-09-01,29.183000000000003,0.55,0.12,0.39,0.33,0.78,1.18,-0.46,0.68
1990-10-01,25.754,0.17,-0.14,0.35,0.66,-0.43,0.76,-0.91,0.11
1990-11-01,21.518,0.4,-0.2,0.4,1.24,-0.76,-0.39,-1.66,0.59
1990-12-01,16.509,0.4,-0.08,0.41,-0.63,-0.605,0.11,-1.62,0.61
1991-01-01,14.501,0.12,0.13,0.41,0.93,-0.45,0.49,0.2,-1.3
1991-02-01,18.433,0.23,0.0,0.26,-0.67,0.31,0.74,1.13,-0.78
1991-03-01,23.39,0.64,-0.16,0.22,0.3,-0.38,-0.61,-1.21,1.83
1991-04-01,28.149,0.86,-0.05,0.26,-1.28,-0.14,0.17,0.38,0.7
1991-05-01,33.874,1.37,0.24,0.45,-0.81,-1.13,0.12,-0.63,0.56
1991-06-01,34.535000000000004,0.94,0.68,0.64,-1.17,1.02,-0.52,-0.92,0.63
1991-07-01,33.46,0.71,0.83,0.73,1.35,-0.58,-0.46,0.28,-1.73
